,latitude,longitude,zipcode,time_to_CBD,distance_to_CBD
265,41.65879955899772,-87.64547642732289,60643,1566,30605
266,41.65845772440772,-87.64534057370997,60643,1596,30673
267,41.66011666998803,-87.6451810592679,60643,1583,30549
268,41.66118715143786,-87.64440418983183,60643,1529,30491
269,41.657762790107306,-87.64338323711749,60643,1626,30603
270,41.870491607895495,-87.67731229352553,60612,668,5382
271,41.894488783299266,-87.67937141320692,60612,882,7010
272,41.891711770239134,-87.70032289994515,60612,983,9179
273,41.89425807141211,-87.69969912281694,60612,937,8390
274,41.881085248166414,-87.66980712086503,60612,627,4649
275,41.88718981121585,-87.70121234349594,60612,798,8040
276,41.889646322438026,-87.70223878134311,60612,841,8378
277,41.88740351025859,-87.6954901514818,60612,774,7481
278,41.88919422575677,-87.68339583412867,60612,758,7217
279,41.894185297875076,-87.68961796312405,60612,841,7687
280,41.87075550742368,-87.66698594174144,60612,554,4579
281,41.891959832301445,-87.70513134556957,60612,905,8833
282,41.87539314618944,-87.6913160992167,60612,472,5787
283,41.877526018895736,-87.62838408105684,60604,96,381
284,41.877865361181875,-87.63319477290449,60604,150,675
285,41.87860598857521,-87.6219542575438,60604,188,710
286,41.88028121594414,-87.62284213862598,60604,300,925
287,41.87890141598118,-87.6332776815756,60604,182,797
288,41.87884728768451,-87.63364313655354,60604,182,797
289,41.87809203918654,-87.63189394153926,60604,129,563
290,41.87806115086146,-87.62479923123823,60604,166,572
291,41.87860100344447,-87.63243672445603,60604,158,651
292,41.882155911736255,-87.72777627982967,60624,831,9746
293,41.888299546296054,-87.73137701664379,60624,1127,12237
294,41.89327701770516,-87.72213667781165,60624,991,10516
295,41.872588541430574,-87.72696587740712,60624,672,8777
296,41.879136333308125,-87.7357283526048,60624,779,10178
297,41.87065964318998,-87.70848968612752,60624,649,7917
298,41.867619475477476,-87.7062650642728,60624,756,8584
299,41.86971304679778,-87.71246783694913,60624,664,7996
300,41.8862786857704,-87.73756596938307,60624,948,11561
301,41.87588771282835,-87.72000452721255,60624,689,8592
302,41.884024207031054,-87.70840758988722,60624,860,8216
303,41.88752816596207,-87.71122331600111,60624,806,8968
304,41.98109423676024,-87.8382347118842,60656,1295,24476
305,41.978125332757095,-87.8078087619055,60656,1307,22079
306,41.98098279071633,-87.79829139129905,60656,1208,20795
307,41.96951975726335,-87.78935072467935,60656,1296,20310
308,41.888732254189584,-87.7682374665431,60644,1189,14843
309,41.87171853296273,-87.75594246613691,60644,811,12773
310,41.87761261356575,-87.75691748654525,60644,879,11995
311,41.88476895917914,-87.76132829635907,60644,1086,13977
312,41.87149055606177,-87.75865918024319,60644,803,12548
313,41.8827024494682,-87.76464999134443,60644,968,13272
314,41.88386869702536,-87.75549379838702,60644,955,12534
315,41.892402690418834,-87.773813308361,60644,1183,15198
316,41.86886288065949,-87.76875305029141,60644,856,13340
317,41.87249930173399,-87.75518003971015,60644,760,11320
318,41.866772236530736,-87.76144229069781,60644,849,12500
319,41.87956661525704,-87.75918858539883,60644,927,12435
320,41.88582352823952,-87.76365321857794,60644,1015,13711
321,41.704265603823444,-87.69906012610954,60655,1776,27396
322,41.69384669582805,-87.69680766211862,60655,1643,28745
323,41.69031910671161,-87.68159070540352,60655,1538,27507
324,41.68900890049209,-87.71932487072293,60655,1872,30669
325,41.70333045586562,-87.68927309658682,60655,1714,28765
326,41.712788030940864,-87.68568645255168,60655,1597,25636
327,41.88105483708807,-87.62360305474606,60603,285,855
328,41.879058831220114,-87.61695965091998,60603,342,1605
329,41.88029754582071,-87.61942260491742,60603,281,1219
330,41.87960537573511,-87.6329360779533,60603,224,933
331,41.879904386907256,-87.62454620617457,60603,115,409
332,41.8810318108562,-87.62454216054975,60603,142,535
333,41.88096894517365,-87.62236076332493,60603,284,1218
334,41.880189462396324,-87.6311847392544,60603,181,715
335,41.881050592473116,-87.6291535069172,60603,269,1131
336,41.865533446566815,-87.62276727867926,60605,507,2384
337,41.868015093009966,-87.61518517331804,60605,590,3338
338,41.872095934504685,-87.61749599325589,60605,454,2671
339,41.87020023775343,-87.63061238502449,60605,530,2192
340,41.857776990220366,-87.60952188623719,60605,896,4587
341,41.86700110792478,-87.61306717375915,60605,589,3342
342,41.8711363395351,-87.6162934650268,60605,355,1914
343,41.819854120180274,-87.61232741658701,60653,878,9048
344,41.81355988213711,-87.59275435571844,60653,966,11716
345,41.81389971763126,-87.61328663097044,60653,951,10785
346,41.81216813903756,-87.59888270137428,60653,896,10432
347,41.82335491781979,-87.62140394184524,60653,771,9067
348,41.820960295438205,-87.62379410300669,60653,759,9120
349,41.820785583212206,-87.61157630401273,60653,857,8760
350,41.82817757868878,-87.60221072359775,60653,610,7036
351,41.818162334855494,-87.59972542360617,60653,782,8468
352,41.80384574733594,-87.67208946577955,60609,1301,13929
353,41.79531006485956,-87.64811266853692,60609,1014,13247
