,hh_median_income,hh_mean_income,perc_educ_highschool,perc_educ_bachelor,unemployment_rate,total_population,age_under_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_to_69,age_70_to_74,age_75_to_79,age_80_to_84,age_85_up,pop_white,pop_black,pop_native,pop_asian,pop_latino,zip_code
"ZCTA5 62631: Summary level: 860, zip code tabulation area:62631",23854.0,46003,48.8,5.9,1.1,261,16,17,12,2,9,9,12,10,0,48,11,8,23,33,12,20,10,9,98.5,0.0,0.0,0.0,1.5,62631
"ZCTA5 62512: Summary level: 860, zip code tabulation area:62512",31357.0,67632,70.9,11.2,0.0,456,15,24,37,49,46,28,22,15,55,0,8,38,32,30,13,38,6,0,99.1,0.4,0.0,0.0,2.2,62512
"ZCTA5 62531: Summary level: 860, zip code tabulation area:62531",39250.0,79328,43.7,12.8,2.1,1647,92,100,91,73,64,152,92,118,98,71,137,135,113,115,72,51,28,45,98.9,1.1,0.0,0.0,0.0,62531
"ZCTA5 62532: Summary level: 860, zip code tabulation area:62532",-666666666.0,50727,61.4,7.1,24.3,70,0,0,0,0,0,0,0,13,0,0,5,10,18,9,0,9,0,6,100.0,0.0,0.0,0.0,0.0,62532
"ZCTA5 62541: Summary level: 860, zip code tabulation area:62541",11875.0,-999999999,0.0,0.0,0.0,21,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,12,0,0,57.1,0.0,0.0,0.0,0.0,62541
"ZCTA5 61486: Summary level: 860, zip code tabulation area:61486",38125.0,75181,41.1,11.9,2.2,1514,105,109,119,92,89,83,97,151,65,93,144,61,60,79,63,53,30,21,96.1,0.0,0.0,0.0,4.7,61486
"ZCTA5 61490: Summary level: 860, zip code tabulation area:61490",31978.0,75362,40.6,10.6,4.2,1082,20,46,96,69,75,40,77,71,77,55,57,86,85,74,64,35,28,27,99.7,0.3,0.0,0.0,1.3,61490
"ZCTA5 61530: Summary level: 860, zip code tabulation area:61530",25627.0,84022,29.8,26.2,4.7,6931,467,472,370,531,714,520,439,425,277,419,325,406,396,275,168,238,155,334,95.0,1.2,0.0,0.2,3.3,61530
"ZCTA5 61545: Summary level: 860, zip code tabulation area:61545",34313.0,76183,48.2,13.3,1.9,697,78,71,39,7,12,38,95,51,33,40,16,37,57,42,5,27,4,45,100.0,0.0,0.0,0.0,1.1,61545
"ZCTA5 61563: Summary level: 860, zip code tabulation area:61563",21587.0,51468,43.9,6.4,4.5,509,48,27,13,25,22,40,29,34,35,39,30,40,22,40,20,12,23,10,99.0,0.0,0.0,0.0,0.4,61563
"ZCTA5 61568: Summary level: 860, zip code tabulation area:61568",37838.0,94617,31.8,19.4,2.2,4352,241,331,458,386,222,134,245,217,263,416,224,267,202,271,212,149,63,51,96.8,0.0,0.6,1.9,3.0,61568
"ZCTA5 61605: Summary level: 860, zip code tabulation area:61605",16192.0,34790,42.0,2.9,23.8,15195,1441,1189,1068,1164,1041,1120,924,1010,747,796,853,772,954,887,359,285,309,276,35.2,58.5,0.2,0.1,7.9,61605
"ZCTA5 61611: Summary level: 860, zip code tabulation area:61611",33190.0,77169,32.7,17.0,5.0,24303,1231,1357,1064,1479,1288,1748,1625,1307,1240,1335,2183,1647,1744,1462,1489,950,626,528,95.1,1.3,0.1,1.6,2.9,61611
"ZCTA5 61701: Summary level: 860, zip code tabulation area:61701",28485.0,62964,30.6,21.8,5.2,35669,2071,1960,1689,2661,4267,3356,2343,2173,2045,2141,2156,1931,1889,1690,1147,708,600,842,79.6,13.2,0.3,3.3,7.9,61701
"ZCTA5 61731: Summary level: 860, zip code tabulation area:61731",29453.0,85603,55.1,5.6,0.0,183,15,26,17,18,0,14,0,16,13,13,0,21,5,19,0,0,6,0,100.0,0.0,0.0,0.0,0.0,61731
"ZCTA5 61745: Summary level: 860, zip code tabulation area:61745",43696.0,88449,29.0,26.0,1.8,4658,277,409,382,398,230,271,174,337,317,435,305,363,216,245,127,58,62,52,94.4,0.4,0.0,0.6,2.7,61745
"ZCTA5 61760: Summary level: 860, zip code tabulation area:61760",35229.0,72641,44.4,14.3,5.7,2306,130,116,211,160,122,117,125,68,176,134,163,176,174,107,92,77,54,104,98.8,0.3,0.0,0.2,0.2,61760
"ZCTA5 61817: Summary level: 860, zip code tabulation area:61817",29863.0,64482,32.6,18.2,2.6,2528,183,104,111,168,153,109,117,175,184,124,123,247,162,179,95,118,99,77,99.2,0.0,0.0,0.0,3.3,61817
"ZCTA5 61821: Summary level: 860, zip code tabulation area:61821",32053.0,75270,23.7,18.8,5.1,31207,2148,1849,1777,1710,2853,2672,2459,2703,1415,1627,1667,1833,1908,1412,1101,863,626,584,64.8,26.2,0.0,4.9,5.9,61821
"ZCTA5 61830: Summary level: 860, zip code tabulation area:61830",33750.0,72211,39.7,20.7,2.5,390,29,9,23,24,10,42,13,19,30,36,10,27,36,25,24,6,19,8,96.2,0.3,0.0,0.0,0.0,61830
"ZCTA5 61854: Summary level: 860, zip code tabulation area:61854",36326.0,73498,32.6,17.0,6.5,1193,93,34,41,77,62,90,89,58,47,93,60,170,76,60,74,32,28,9,97.5,0.0,0.0,0.0,5.3,61854
"ZCTA5 61855: Summary level: 860, zip code tabulation area:61855",27500.0,47688,42.5,23.6,24.2,133,0,14,9,4,0,5,0,0,5,8,31,26,0,0,0,5,0,26,100.0,0.0,0.0,0.0,0.0,61855
"ZCTA5 61862: Summary level: 860, zip code tabulation area:61862",44479.0,104471,33.7,15.8,1.4,564,36,41,49,17,15,23,52,15,31,37,26,42,42,55,29,25,9,20,97.7,0.5,0.0,0.0,0.7,61862
"ZCTA5 61864: Summary level: 860, zip code tabulation area:61864",35785.0,98001,28.3,23.8,0.6,1770,88,107,173,126,76,76,80,120,94,102,147,125,132,153,57,61,38,15,100.0,0.0,0.0,0.0,0.0,61864
"ZCTA5 61919: Summary level: 860, zip code tabulation area:61919",31397.0,68470,34.4,18.5,1.5,906,45,45,61,54,13,37,86,39,29,70,39,102,73,86,45,22,51,9,100.0,0.0,0.0,0.0,0.4,61919
"ZCTA5 61928: Summary level: 860, zip code tabulation area:61928",36106.0,66408,47.1,11.2,2.0,596,24,10,46,27,24,43,17,42,66,44,36,15,33,122,19,18,1,9,94.6,2.0,2.3,0.0,0.0,61928
"ZCTA5 61933: Summary level: 860, zip code tabulation area:61933",25524.0,51351,37.9,6.9,7.4,872,49,28,39,54,35,35,39,53,55,71,36,65,95,69,59,39,24,27,99.4,0.2,0.0,0.0,0.0,61933
"ZCTA5 61949: Summary level: 860, zip code tabulation area:61949",31563.0,58686,37.9,7.8,10.5,129,3,3,6,5,9,2,4,10,9,6,7,20,9,8,18,5,3,2,90.7,0.0,0.0,7.0,2.3,61949
"ZCTA5 61951: Summary level: 860, zip code tabulation area:61951",32451.0,72225,28.9,12.7,2.5,7817,532,541,439,505,399,582,401,409,414,452,490,489,601,484,383,326,144,226,98.1,0.8,0.0,0.2,1.6,61951
"ZCTA5 61956: Summary level: 860, zip code tabulation area:61956",30492.0,68105,35.5,12.1,8.2,2749,138,118,156,176,146,180,162,181,171,151,216,162,206,225,147,94,63,57,93.9,2.0,1.6,1.1,0.8,61956
"ZCTA5 61088: Summary level: 860, zip code tabulation area:61088",40653.0,98840,27.4,18.1,3.9,6216,276,408,577,353,411,188,243,356,344,481,549,580,533,302,277,136,100,102,97.2,1.5,0.2,0.4,0.8,61088
"ZCTA5 61089: Summary level: 860, zip code tabulation area:61089",37500.0,76095,39.4,20.8,0.0,739,45,71,30,12,10,39,107,72,19,38,51,27,96,48,28,39,3,4,100.0,0.0,0.0,0.0,2.8,61089
"ZCTA5 61103: Summary level: 860, zip code tabulation area:61103",23825.0,57795,32.2,13.8,8.8,23512,1411,1450,1358,1451,1265,1375,1166,1399,1329,1332,1644,1641,1834,1435,1047,747,449,1179,70.1,21.3,0.3,0.7,12.4,61103
"ZCTA5 61201: Summary level: 860, zip code tabulation area:61201",26324.0,61523,27.9,14.9,7.9,38024,2422,2156,2255,3552,3415,2184,2571,2244,1909,2017,2089,2532,2503,2084,1259,1117,785,930,69.4,20.5,0.5,4.1,11.1,61201
"ZCTA5 61232: Summary level: 860, zip code tabulation area:61232",37542.0,85477,35.0,14.1,3.3,1318,49,42,100,46,46,84,116,62,44,119,53,213,128,107,42,33,30,4,96.3,1.4,0.0,0.4,1.3,61232
"ZCTA5 61242: Summary level: 860, zip code tabulation area:61242",35208.0,81451,35.7,10.7,4.9,1322,29,51,136,59,26,44,116,65,90,51,114,79,169,99,63,55,26,50,99.0,0.8,0.0,0.2,0.0,61242
"ZCTA5 61254: Summary level: 860, zip code tabulation area:61254",35517.0,87425,26.8,22.4,3.3,11003,567,710,856,697,488,487,569,558,691,858,502,771,661,650,612,457,429,440,97.0,0.6,0.0,0.6,2.0,61254
"ZCTA5 61261: Summary level: 860, zip code tabulation area:61261",22477.0,63080,49.1,11.1,8.4,903,65,63,64,46,89,65,51,36,45,43,43,77,62,37,59,22,23,13,99.6,0.0,0.0,0.1,4.8,61261
"ZCTA5 61239: Summary level: 860, zip code tabulation area:61239",26023.0,45931,32.0,5.0,11.5,1122,97,64,114,72,72,199,39,57,41,38,82,59,51,40,20,33,32,12,69.5,25.6,0.0,1.0,4.6,61239
"ZCTA5 61252: Summary level: 860, zip code tabulation area:61252",33131.0,74028,38.7,15.7,1.7,5293,299,377,298,271,210,285,271,296,268,402,346,402,489,402,210,198,111,158,96.9,0.4,0.8,0.1,1.1,61252
"ZCTA5 61259: Summary level: 860, zip code tabulation area:61259",43576.0,96395,38.9,18.4,3.2,1158,87,17,118,90,16,26,48,115,60,83,109,70,103,77,34,39,37,29,94.0,0.0,0.0,0.0,6.0,61259
"ZCTA5 61315: Summary level: 860, zip code tabulation area:61315",26875.0,72240,50.7,3.3,16.5,240,15,17,16,27,13,21,9,14,15,32,8,13,11,15,1,6,3,4,99.6,0.0,0.0,0.0,0.4,61315
"ZCTA5 61317: Summary level: 860, zip code tabulation area:61317",26188.0,63139,48.9,11.1,8.6,405,30,33,20,7,35,32,9,17,29,13,13,54,40,26,12,14,12,9,100.0,0.0,0.0,0.0,3.2,61317
"ZCTA5 61330: Summary level: 860, zip code tabulation area:61330",38981.0,94815,40.5,8.6,1.7,1395,38,103,72,77,61,56,50,85,52,86,104,178,132,111,81,41,36,32,93.3,0.4,0.0,3.9,0.4,61330
"ZCTA5 61321: Summary level: 860, zip code tabulation area:61321",33500.0,98264,40.9,16.4,0.6,312,15,26,19,17,15,24,7,10,13,51,21,20,25,19,23,6,1,0,100.0,0.0,0.0,0.0,4.5,61321
"ZCTA5 61324: Summary level: 860, zip code tabulation area:61324",36136.0,72389,48.7,0.0,0.0,128,0,0,0,0,11,0,0,6,0,0,10,22,31,12,14,0,11,11,100.0,0.0,0.0,0.0,0.0,61324
"ZCTA5 61326: Summary level: 860, zip code tabulation area:61326",33343.0,84397,40.1,9.1,2.1,2314,105,112,91,138,99,169,137,182,104,124,215,226,188,120,104,112,59,29,97.8,0.0,0.0,0.0,6.6,61326
"ZCTA5 61331: Summary level: 860, zip code tabulation area:61331",-666666666.0,-999999999,100.0,0.0,0.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,100.0,0.0,0.0,0.0,0.0,61331
"ZCTA5 61348: Summary level: 860, zip code tabulation area:61348",30151.0,70852,35.4,11.9,3.3,4520,178,371,281,253,191,290,337,233,252,274,320,364,255,245,271,160,98,147,94.3,1.7,0.2,0.2,7.6,61348
"ZCTA5 61356: Summary level: 860, zip code tabulation area:61356",29915.0,74929,32.1,18.6,3.6,10627,540,466,726,672,514,479,613,464,498,726,608,817,744,925,572,526,353,384,96.4,0.2,0.1,0.9,6.5,61356
"ZCTA5 61361: Summary level: 860, zip code tabulation area:61361",30694.0,73957,38.6,16.0,3.7,1198,77,65,96,33,35,60,81,116,69,42,71,87,90,56,70,44,59,47,97.0,1.1,0.0,0.0,2.3,61361
"ZCTA5 61369: Summary level: 860, zip code tabulation area:61369",29048.0,66001,45.0,11.6,6.0,1525,69,56,53,63,125,86,110,48,40,92,142,132,103,109,96,77,49,75,95.6,1.2,0.1,0.5,11.5,61369
"ZCTA5 61413: Summary level: 860, zip code tabulation area:61413",35536.0,76190,36.6,21.0,6.6,932,49,68,48,56,19,50,93,48,60,29,59,65,73,65,59,41,32,18,97.9,0.0,0.0,0.0,0.9,61413
"ZCTA5 61436: Summary level: 860, zip code tabulation area:61436",40966.0,86909,31.7,22.8,5.1,732,22,38,64,58,32,0,23,70,54,33,98,44,42,58,48,31,6,11,89.2,0.0,6.7,0.0,6.0,61436
"ZCTA5 61437: Summary level: 860, zip code tabulation area:61437",33182.0,68497,38.3,21.2,6.1,743,53,27,49,20,41,41,19,62,31,15,49,74,54,116,34,17,22,19,99.6,0.0,0.0,0.0,3.0,61437
"ZCTA5 61447: Summary level: 860, zip code tabulation area:61447",39387.0,111242,37.1,15.2,3.3,1069,77,56,105,67,68,35,37,50,74,150,78,56,56,43,62,34,15,6,97.9,0.0,0.0,0.0,1.6,61447
"ZCTA5 61454: Summary level: 860, zip code tabulation area:61454",19509.0,48316,43.0,15.4,9.3,484,36,31,9,24,33,38,24,5,6,37,20,24,47,55,31,47,7,10,98.1,0.0,0.0,0.0,4.8,61454
"ZCTA5 61455: Summary level: 860, zip code tabulation area:61455",16748.0,58720,23.6,17.9,8.3,20294,826,652,1112,2558,4124,1269,1068,956,743,702,864,1087,1072,957,705,481,457,661,86.0,6.8,0.1,3.0,3.7,61455
"ZCTA5 61458: Summary level: 860, zip code tabulation area:61458",29597.0,67047,39.5,9.7,6.0,636,7,15,16,42,12,21,12,9,45,54,40,74,34,55,59,37,47,57,100.0,0.0,0.0,0.0,2.2,61458
"ZCTA5 61484: Summary level: 860, zip code tabulation area:61484",25667.0,57433,51.7,7.2,10.2,880,53,68,48,68,36,60,37,48,39,43,74,51,74,47,38,24,43,29,97.6,0.2,0.0,0.5,1.4,61484
"ZCTA5 61485: Summary level: 860, zip code tabulation area:61485",28424.0,60452,48.1,7.0,8.7,433,13,5,19,37,16,33,12,16,25,16,52,48,49,20,13,40,19,0,98.8,0.0,0.0,0.0,0.9,61485
"ZCTA5 61491: Summary level: 860, zip code tabulation area:61491",33664.0,83633,39.2,11.4,2.0,1922,79,80,97,115,102,91,106,100,109,118,169,187,133,162,99,73,57,45,97.6,0.0,0.0,1.4,0.4,61491
"ZCTA5 61520: Summary level: 860, zip code tabulation area:61520",24411.0,70399,29.6,11.4,5.3,16703,744,869,905,812,990,1207,1250,1216,1081,1116,922,1110,1081,1044,787,537,468,564,89.9,7.3,0.7,0.1,4.7,61520
"ZCTA5 61014: Summary level: 860, zip code tabulation area:61014",28796.0,63056,44.7,12.8,5.8,989,66,48,41,48,53,74,67,40,25,56,77,60,101,58,58,61,34,22,97.9,0.0,0.0,0.0,2.2,61014
"ZCTA5 62809: Summary level: 860, zip code tabulation area:62809",38846.0,73457,20.2,18.3,8.0,150,12,13,17,4,0,0,7,19,16,0,3,17,29,6,2,0,2,3,98.0,0.0,0.0,0.0,2.0,62809
"ZCTA5 62829: Summary level: 860, zip code tabulation area:62829",-666666666.0,-999999999,0.0,0.0,0.0,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,62829
"ZCTA5 62844: Summary level: 860, zip code tabulation area:62844",26575.0,64975,31.2,10.5,4.7,2081,124,177,129,80,121,172,118,115,114,110,89,205,121,136,107,64,18,81,98.4,0.5,0.0,0.1,1.6,62844
"ZCTA5 62846: Summary level: 860, zip code tabulation area:62846",20391.0,61055,37.4,1.7,5.4,2613,64,27,35,76,251,259,307,308,247,271,194,166,96,162,53,55,33,9,70.5,27.9,0.3,0.0,11.3,62846
"ZCTA5 62862: Summary level: 860, zip code tabulation area:62862",27763.0,58264,25.0,15.2,0.6,359,12,20,22,31,10,16,32,17,14,11,16,39,22,28,20,25,7,17,100.0,0.0,0.0,0.0,0.3,62862
"ZCTA5 62870: Summary level: 860, zip code tabulation area:62870",25966.0,71180,36.0,7.1,9.2,2211,89,104,186,159,108,139,77,129,113,128,171,222,119,109,132,59,70,97,94.3,1.7,0.0,0.0,3.7,62870
"ZCTA5 62872: Summary level: 860, zip code tabulation area:62872",28576.0,66602,32.6,7.2,1.6,1077,79,68,99,79,71,45,66,58,65,77,77,49,54,82,58,19,24,7,97.0,0.0,2.1,0.0,1.2,62872
"ZCTA5 62886: Summary level: 860, zip code tabulation area:62886",25536.0,66226,31.3,0.0,2.9,257,14,34,12,14,7,19,2,21,41,4,8,19,18,16,8,11,6,3,96.1,0.0,0.0,3.9,0.0,62886
"ZCTA5 62919: Summary level: 860, zip code tabulation area:62919",20451.0,118881,41.3,5.5,14.2,1060,8,22,102,33,89,44,59,106,30,76,68,98,59,166,30,58,12,0,88.6,6.4,0.0,0.4,1.1,62919
"ZCTA5 62922: Summary level: 860, zip code tabulation area:62922",27853.0,79491,36.2,14.8,6.7,2764,194,126,98,132,98,149,151,72,121,159,194,298,231,276,197,133,70,65,98.8,0.0,0.0,0.2,0.5,62922
"ZCTA5 62927: Summary level: 860, zip code tabulation area:62927",20050.0,41297,49.4,2.7,12.9,369,20,24,25,10,35,38,26,27,22,19,15,24,31,20,6,12,6,9,98.9,0.0,0.0,0.0,0.0,62927
"ZCTA5 62449: Summary level: 860, zip code tabulation area:62449",26266.0,63449,36.7,11.0,5.3,2963,170,233,191,173,171,161,149,88,169,133,239,233,169,239,120,125,93,107,95.7,1.5,0.0,0.0,1.7,62449
"ZCTA5 62380: Summary level: 860, zip code tabulation area:62380",-666666666.0,61551,51.8,3.5,6.8,552,70,61,38,13,88,10,69,55,27,18,3,35,24,25,7,0,0,9,100.0,0.0,0.0,0.0,0.0,62380
"ZCTA5 62420: Summary level: 860, zip code tabulation area:62420",29497.0,67735,36.4,12.4,4.3,4675,259,262,328,285,297,285,201,332,133,342,351,307,314,321,177,162,139,180,97.2,1.2,0.0,0.3,1.1,62420
"ZCTA5 62421: Summary level: 860, zip code tabulation area:62421",30365.0,73949,23.5,13.4,0.3,593,41,25,29,94,0,20,35,13,40,59,40,37,47,22,41,33,11,6,95.3,0.0,0.0,0.3,0.0,62421
"ZCTA5 62451: Summary level: 860, zip code tabulation area:62451",24190.0,63462,31.5,10.3,8.8,1958,100,76,148,103,98,128,80,78,86,152,118,116,179,216,109,72,68,31,98.7,0.1,0.2,0.0,0.2,62451
"ZCTA5 62452: Summary level: 860, zip code tabulation area:62452",28750.0,51916,41.6,2.7,2.2,293,16,12,10,16,13,10,10,30,10,29,42,21,19,38,10,5,0,2,98.3,0.0,0.0,0.0,0.0,62452
"ZCTA5 62479: Summary level: 860, zip code tabulation area:62479",30600.0,71675,39.3,27.4,6.6,1027,97,128,115,41,55,58,88,83,100,30,27,74,17,21,49,20,1,23,99.6,0.3,0.0,0.0,0.2,62479
"ZCTA5 62519: Summary level: 860, zip code tabulation area:62519",43194.0,77869,64.4,26.7,0.0,90,0,0,0,0,0,0,49,0,0,0,0,26,0,0,15,0,0,0,100.0,0.0,0.0,0.0,0.0,62519
"ZCTA5 62533: Summary level: 860, zip code tabulation area:62533",36150.0,68008,37.7,14.3,1.0,776,52,57,33,42,59,39,35,62,23,49,65,57,71,72,27,22,7,4,99.0,0.3,0.0,0.0,7.2,62533
"ZCTA5 62534: Summary level: 860, zip code tabulation area:62534",31688.0,65444,44.3,13.2,4.3,1307,71,65,71,62,94,107,50,70,80,63,117,102,117,59,50,53,47,29,100.0,0.0,0.0,0.0,0.5,62534
"ZCTA5 62551: Summary level: 860, zip code tabulation area:62551",39615.0,71549,43.7,6.7,6.7,743,44,66,40,28,29,41,49,19,50,101,52,30,23,98,32,22,12,7,99.2,0.0,0.0,0.0,1.7,62551
"ZCTA5 62625: Summary level: 860, zip code tabulation area:62625",40760.0,97149,30.4,25.4,1.1,759,6,18,14,37,43,4,0,32,47,24,37,106,85,218,78,0,8,2,98.3,0.0,0.0,0.0,0.1,62625
"ZCTA5 62635: Summary level: 860, zip code tabulation area:62635",36481.0,68008,37.2,21.0,2.3,666,67,49,63,16,14,38,56,46,31,5,18,53,29,21,19,53,32,56,98.3,0.2,0.2,0.0,4.7,62635
"ZCTA5 62807: Summary level: 860, zip code tabulation area:62807",21500.0,57232,31.4,11.5,2.0,768,44,76,25,38,44,31,34,59,66,61,34,46,50,51,50,27,20,12,99.7,0.0,0.0,0.0,0.0,62807
"ZCTA5 62810: Summary level: 860, zip code tabulation area:62810",31400.0,59020,26.8,12.0,5.9,908,60,98,52,61,43,49,45,63,15,34,54,69,76,66,46,29,14,34,96.1,0.0,0.2,0.0,0.3,62810
"ZCTA5 62831: Summary level: 860, zip code tabulation area:62831",24250.0,58659,42.3,6.8,1.4,383,10,1,21,14,13,21,18,4,5,31,52,43,44,25,36,27,15,3,97.1,2.3,0.0,0.0,2.3,62831
"ZCTA5 62832: Summary level: 860, zip code tabulation area:62832",26051.0,59685,36.5,10.0,7.6,8785,422,471,591,463,598,457,464,526,616,621,593,457,587,500,502,330,271,316,92.8,3.8,0.3,0.6,2.3,62832
"ZCTA5 62835: Summary level: 860, zip code tabulation area:62835",19469.0,50541,44.9,9.6,7.0,962,57,64,70,43,27,47,60,57,50,21,56,52,66,70,74,21,83,44,98.4,1.4,0.0,0.0,0.8,62835
"ZCTA5 62836: Summary level: 860, zip code tabulation area:62836",35580.0,79380,14.0,19.7,2.1,771,57,58,53,42,33,34,38,73,31,47,34,84,66,45,25,24,11,16,96.9,0.0,0.5,0.0,3.6,62836
"ZCTA5 62842: Summary level: 860, zip code tabulation area:62842",26486.0,62148,28.4,14.7,3.7,743,38,31,63,43,43,27,39,79,67,32,24,59,36,67,49,10,16,20,97.6,0.0,0.0,1.5,0.5,62842
"ZCTA5 62858: Summary level: 860, zip code tabulation area:62858",29106.0,61065,36.1,13.0,7.3,2713,178,135,197,104,111,209,217,169,169,154,137,198,213,163,120,93,74,72,97.3,2.3,0.1,0.1,0.3,62858
"ZCTA5 62869: Summary level: 860, zip code tabulation area:62869",30389.0,66382,40.0,9.0,7.1,2490,125,176,175,166,157,152,167,125,111,188,214,232,144,135,53,78,52,40,99.2,0.2,0.0,0.2,3.3,62869
"ZCTA5 62876: Summary level: 860, zip code tabulation area:62876",25179.0,48588,48.1,5.2,5.3,184,12,4,4,6,4,14,23,8,10,11,15,19,11,14,5,14,7,3,98.9,0.0,0.0,0.0,1.1,62876
"ZCTA5 62877: Summary level: 860, zip code tabulation area:62877",30179.0,65681,43.2,8.4,3.2,516,33,7,28,52,16,18,35,22,29,17,35,72,42,37,22,14,26,11,94.6,0.8,0.0,0.0,0.0,62877
"ZCTA5 62892: Summary level: 860, zip code tabulation area:62892",26458.0,67728,36.3,13.1,5.9,377,10,9,19,36,58,9,6,19,9,27,49,15,52,31,10,9,8,1,99.7,0.0,0.0,0.3,1.1,62892
"ZCTA5 62893: Summary level: 860, zip code tabulation area:62893",30742.0,70119,40.8,12.8,9.0,1054,24,34,86,69,67,63,46,70,92,51,70,75,80,92,63,10,37,25,98.3,0.0,0.0,0.0,0.0,62893
"ZCTA5 62895: Summary level: 860, zip code tabulation area:62895",26662.0,57626,40.3,10.0,2.5,1897,166,96,119,96,69,92,134,76,111,134,108,132,94,136,119,86,67,62,98.3,0.0,0.7,0.0,0.6,62895
"ZCTA5 62912: Summary level: 860, zip code tabulation area:62912",23789.0,88658,38.3,12.6,4.6,1307,154,79,99,67,107,50,103,73,61,76,80,90,63,66,57,44,22,16,98.6,0.8,0.2,0.1,0.9,62912
"ZCTA5 62921: Summary level: 860, zip code tabulation area:62921",16053.0,34118,45.7,2.7,2.2,332,24,25,38,12,14,16,17,50,10,7,34,53,14,6,2,3,7,0,53.9,39.5,0.0,0.0,11.4,62921
"ZCTA5 62923: Summary level: 860, zip code tabulation area:62923",25694.0,70166,44.6,4.3,3.7,468,47,18,46,30,22,19,17,29,38,12,15,46,22,29,35,31,12,0,88.7,5.1,0.0,0.0,0.0,62923
"ZCTA5 62940: Summary level: 860, zip code tabulation area:62940",19632.0,44680,47.7,3.0,29.3,308,31,31,7,8,34,5,9,23,17,17,26,28,8,21,10,8,24,1,93.2,0.0,0.0,0.0,7.1,62940
"ZCTA5 62946: Summary level: 860, zip code tabulation area:62946",22413.0,56248,26.5,12.8,7.8,12530,725,642,769,823,585,852,694,790,556,778,900,891,1105,706,513,441,367,393,90.6,3.6,0.4,1.3,0.9,62946
"ZCTA5 62950: Summary level: 860, zip code tabulation area:62950",36094.0,68202,35.5,19.1,8.5,204,14,0,41,8,0,26,0,29,0,6,9,29,0,35,7,0,0,0,100.0,0.0,0.0,0.0,0.0,62950
"ZCTA5 62966: Summary level: 860, zip code tabulation area:62966",27045.0,62316,32.3,12.9,9.5,15049,1208,831,903,774,752,1096,963,1000,915,745,968,1110,1020,859,620,433,347,505,84.3,8.0,0.0,1.3,4.5,62966
"ZCTA5 62969: Summary level: 860, zip code tabulation area:62969",21477.0,53639,64.0,0.0,3.8,438,16,8,29,52,2,1,22,4,94,25,12,37,5,45,14,62,5,5,100.0,0.0,0.0,0.0,0.0,62969
"ZCTA5 62642: Summary level: 860, zip code tabulation area:62642",35143.0,72685,46.9,10.8,4.4,1334,86,124,68,95,43,91,53,115,83,80,60,133,120,68,45,37,24,9,99.0,0.4,0.3,0.0,1.6,62642
"ZCTA5 62661: Summary level: 860, zip code tabulation area:62661",31783.0,73360,25.0,16.9,6.2,1646,138,183,99,80,112,111,138,124,63,71,158,53,141,52,20,94,2,7,99.0,0.5,0.1,0.4,4.3,62661
"ZCTA5 62666: Summary level: 860, zip code tabulation area:62666",34167.0,79048,44.5,10.8,1.0,580,17,42,46,42,8,30,45,36,25,25,55,44,47,29,10,6,9,64,96.9,0.0,0.0,0.0,0.7,62666
"ZCTA5 62668: Summary level: 860, zip code tabulation area:62668",31477.0,67817,45.7,12.1,3.2,1349,51,51,80,51,65,76,45,97,66,74,126,112,109,94,102,118,21,11,97.9,0.0,0.4,1.5,0.7,62668
"ZCTA5 62671: Summary level: 860, zip code tabulation area:62671",36429.0,95230,35.4,13.8,5.9,596,26,18,69,34,51,46,40,29,25,27,74,70,18,31,15,3,10,10,90.9,0.0,5.9,0.0,6.2,62671
"ZCTA5 62672: Summary level: 860, zip code tabulation area:62672",18194.0,45945,57.0,3.3,6.6,176,1,6,10,7,1,2,3,10,10,10,34,6,19,28,13,10,5,1,99.4,0.6,0.0,0.0,0.0,62672
"ZCTA5 62693: Summary level: 860, zip code tabulation area:62693",43721.0,101289,33.9,19.4,1.3,1565,65,110,147,85,129,87,82,112,93,73,179,115,117,72,40,32,12,15,99.4,0.0,0.0,0.0,0.8,62693
"ZCTA5 62701: Summary level: 860, zip code tabulation area:62701",18371.0,65133,23.5,10.3,5.9,1147,0,28,0,53,69,139,224,131,54,60,94,133,107,26,10,14,0,5,60.1,30.7,1.0,3.9,1.0,62701
"ZCTA5 62093: Summary level: 860, zip code tabulation area:62093",23235.0,46898,46.1,5.7,4.4,434,21,32,5,12,30,25,38,14,22,60,26,36,27,45,23,6,6,6,92.4,0.9,0.5,0.0,3.5,62093
"ZCTA5 61051: Summary level: 860, zip code tabulation area:61051",33620.0,73768,39.7,11.1,4.3,1634,106,116,97,93,160,24,86,127,72,143,120,86,121,82,74,41,59,27,93.5,0.8,0.4,0.0,5.1,61051
"ZCTA5 61071: Summary level: 860, zip code tabulation area:61071",26336.0,68148,42.2,9.1,5.4,13982,701,732,1227,924,840,954,605,733,754,869,906,1026,1022,907,765,508,192,317,95.4,2.0,0.2,0.2,13.2,61071
